site_name,site_code,continent,country,habitat,first_year,final_year,active,number_experiment_years,latitude,longitude,experiment_type
"American Camp",amcamp.us,"North America",US,"mesic grassland",2007,2007,0,1,48.46504064,-123.0143109,Observational
"Buttercup (Andrews LTER)",bttr.us,"North America",US,"montane grassland",2007,2007,0,1,44.27951804,-121.9566829,Observational
Derrimut,derr.au,Australia,AU,"semiarid grassland",2007,2007,0,1,-37.80694444,144.7913889,Observational
Elkhorn,elkh.us,"North America",US,"mesic grassland",2007,2007,0,1,36.984861,-122.05025,Observational
"Finley NWR",fnly.us,"North America",US,"mesic grassland",2007,2007,0,1,44.4097,-123.28,Observational
"Glacial Heritage",glac.us,"North America",US,"mesic grassland",2007,2007,0,1,46.86877222,-123.0343556,Observational
"Hastings UCNRS",hast.us,"North America",US,"annual grassland",2007,2007,0,1,36.2,-121.55,Observational
"Jasper Ridge Biological Preserve",jasp.us,"North America",US,"annual grassland",2007,2007,0,1,37.40500045,-122.2411342,Observational
KonzaN1B,konzn1b.us,"North America",US,"tallgrass prairie",2007,2007,0,1,39.080936,-96.564825,Observational
"Leadbetter Point",lead.us,"North America",US,"salt marsh",2007,2007,0,1,46.6149,-124.0484,Observational
"Niwot Ridge LTER",niwo.us,"North America",US,"alpine grassland",2007,2007,0,1,39.993,-105.375,Observational
"University of California - Santa Cruz",ucsc.us,"North America",US,"mesic grassland",2007,2007,0,1,36.867861,-121.739944,Observational
Elva,elva.ee,Europe,EE,"semiarid grassland",2012,2012,0,1,58.2582861,26.35386,Observational
Kirikukyla,kirik.ee,Europe,EE,"calcareous grassland",2012,2012,0,1,58.71,23.795,Observational
"La Pampa (3 sites)",pampa.ar,"South America",AR,grassland,2008,2008,0,1,-36.58645,-64.43507,Observational
"Mitchell grassland",mitch.au,Australia,AU,"semiarid grassland",2013,2013,0,1,-22.483584,143.323501,Observational
"Bunya Mountains",bunya.au,Australia,AU,grassland,2013,2013,0,1,-26.892138,151.606667,Observational
"Jornada LTER",jorn.us,"North America",US,"semiarid grassland",2013,2013,0,1,32.54434074,-106.8108509,Observational
Antisana,anti.ec,"South America",EC,"alpine grassland",2013,2013,0,1,-0.467083333,-78.162,Observational
"Galleno ",gall.it,Europe,IT,"mesic grassland",2015,2015,1,1,43.7971,10.7185,Observational
"UWO Observatory",uwo.ca,"North America",CA,"old field",2014,2014,0,1,43.193131,-81.317807,Observational
"San Pablo de ValdŽs",spv.ar,"South America",AR,"semiarid grassland",2015,2015,0,1,-42.653747,-64.171606,Observational
Abiskojaure,abisko.se,Europe,SE,"tundra grassland",2016,2016,0,1,68.319867,18.740062,Observational
Laktajakka,lakta.se,Europe,SE,"tundra grassland",2016,2016,0,1,68.319867,18.740062,Observational
Karkevagge,kark.se,Europe,SE,"tundra grassland",2016,2016,0,1,68.392169,18.323098,Observational
Vassijaure,vass.se,Europe,SE,"tundra grassland",2016,2016,0,1,68.416979,18.274396,Observational
"TNC Lake Ramsay Preserve",ramsay.us,"North America",US,savanna,2016,2016,0,1,30.515202,-90.169863,Observational
"Ovor Zaisan",ovor.mn,Asia,MN,NULL,2018,NULL,1,4,47.7688333,106.8850333,Observational
"Varanger River Valley Heathlands",varheath.no,Europe,NO,NULL,2018,NULL,1,4,70.32797,29.5398,Observational
"Varanger River Valley Grasslands",vargrass.no,Europe,NO,"tundra grassland",2018,NULL,1,4,70.32797,29.5398,Observational
"GCE LTER - Fresh",gce_fresh.us,"North America",US,NULL,2019,NULL,1,3,31.335167,-81.478667,Observational
"GCE LTER - Brackish",gce_brackish.us,"North America",US,NULL,2019,NULL,1,3,31.351333,-81.334667,Observational
"GCE LTER - Salt",gce_salt.us,"North America",US,NULL,2019,NULL,1,3,31.519,-81.229667,Observational
Hiko,hiko.ir,Asia,IR,NULL,2014,NULL,1,8,35.9466596424444,53.2899000031111,Observational
Jashloubar,jash.ir,Asia,IR,NULL,2014,NULL,1,8,35.7832566666667,53.1717033333333,Observational
Khoshkeroud,khos.ir,Asia,IR,NULL,2014,NULL,1,8,35.44374,50.6684066666667,Observational
Kordan,kord.ir,Asia,IR,NULL,2014,NULL,1,8,35.9563433333333,50.8547133333333,Observational
Lasem,lasm.ir,Asia,IR,NULL,2014,NULL,1,8,35.8086662857143,52.2046754285714,Observational
Lazour,lazo.ir,Asia,IR,NULL,2014,NULL,1,8,35.86194,52.62122,Observational
"Middle Taleghan",tale.ir,Asia,IR,NULL,2014,NULL,1,8,36.1373804081633,50.7171176870748,Observational
"North of Ardebil",arde.ir,Asia,IR,NULL,2014,NULL,1,8,38.8548550724638,47.7807350434783,Observational
Ozine,ozin.ir,Asia,IR,NULL,2014,NULL,1,8,35.6566866666667,52.4441766666667,Observational
Salafchegan,sala.ir,Asia,IR,NULL,2014,NULL,1,8,34.51798,50.3989733333333,Observational
"Sedgwick Reserve UCNRS",sedg.us,"North America",US,"annual grassland",2007,NULL,1,15,34.7,-120.0166667,"Experimental (Nutrients Only)"
"Sevilleta LTER",sevi.us,"North America",US,"desert grassland",2007,NULL,1,15,34.3592,-106.6905,"Experimental (Nutrients Only)"
Summerveld,summ.za,Africa,ZA,"mesic grassland",2009,NULL,1,13,-29.81161,30.71573,"Experimental (Nutrients Only)"
Temple,temple.us,"North America",US,"tallgrass prairie",2007,NULL,1,15,31.044,-97.349,"Experimental (Nutrients Only)"
Ukulinga,ukul.za,Africa,ZA,"mesic grassland",2009,NULL,1,13,-29.67,30.4,"Experimental (Nutrients Only)"
"Doane College Spring Creek Prairie ",doane.us,"North America",US,"tallgrass prairie",2012,NULL,1,10,40.6954,-96.8541,"Experimental (Nutrients Only)"
JeNut,jena.de,Europe,DE,grassland,2013,NULL,1,9,50.93333333,11.53333333,"Experimental (Nutrients Only)"
"Lakeside Laboratory",lake.us,"North America",US,"tallgrass prairie",2015,NULL,1,7,43.3791307,-95.1863858,"Experimental (Nutrients Only)"
"Bad Lauchstaedt",badlau.de,Europe,DE,"old field",2015,NULL,1,7,51.392138,11.877969,"Experimental (Nutrients Only)"
Petuniabukta,sval.no,Europe,NO,"tundra grassland",2016,NULL,1,6,78.7,16.4,"Experimental (Nutrients Only)"
"Hog Island Site 2",hogtwo.us,"North America",US,"coastal grassland",2017,NULL,1,5,37.417,-75.686,"Experimental (Nutrients Only)"
Metompkin,meto.us,"North America",US,"coastal grassland",2017,NULL,1,5,37.417,-75.686,"Experimental (Nutrients Only)"
Sandhills,sandhill.us,"North America",US,NULL,2019,NULL,1,3,34.95738,-79.51774,"Experimental (Nutrients Only)"
Azi,azi.cn,Asia,CN,"alpine grassland",2007,2012,0,6,33.67,101.87,"Experimental (Full Factorial)"
"Barta Brothers",barta.us,"North America",US,"mixedgrass prairie",2007,2011,0,5,42.244586,-99.6518,"Experimental (Full Factorial)"
"Boulder South Campus",bldr.us,"North America",US,"shortgrass prairie",2008,NULL,1,14,39.972022,-105.233544,"Experimental (Full Factorial)"
"Bunchgrass (Andrews LTER)",bnch.us,"North America",US,"montane grassland",2007,NULL,1,15,44.27668543,-121.9680169,"Experimental (Full Factorial)"
Bogong,bogong.au,Australia,AU,"alpine grassland",2009,NULL,1,13,-36.874,147.254,"Experimental (Full Factorial)"
Burrawan,burrawan.au,Australia,AU,"semiarid grassland",2008,NULL,1,14,-27.734896,151.139517,"Experimental (Full Factorial)"
"Chichaqua Bottoms",cbgb.us,"North America",US,"tallgrass prairie",2009,NULL,1,13,41.78506667,-93.38538333,"Experimental (Full Factorial)"
"Cedar Creek LTER",cdcr.us,"North America",US,"tallgrass prairie",2007,NULL,1,15,45.425,-93.2115,"Experimental (Full Factorial)"
"Cedar Point Biological Station",cdpt.us,"North America",US,"shortgrass prairie",2007,NULL,1,15,41.2,-101.63,"Experimental (Full Factorial)"
Cowichan,cowi.ca,"North America",CA,"old field",2007,NULL,1,15,48.8088,-123.6301,"Experimental (Full Factorial)"
"Elliott Chaparral",elliot.us,"North America",US,"annual grassland",2008,NULL,1,14,32.875,-117.052243,"Experimental (Full Factorial)"
